City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
515,muravlenko,63.7898,74.523,-23.66,98,82,4.02,RU,1677862134
516,awjilah,29.1081,21.2869,24.09,15,3,4.84,LY,1677862134
517,san carlos de bariloche,-41.1456,-71.3082,19.86,42,20,11.83,AR,1677862104
518,ivanishchi,55.7742,40.4273,-3.86,96,92,2.74,RU,1677862135
519,along,28.1667,94.7667,15.65,67,25,0.92,IN,1677862135
520,copiapo,-27.3667,-70.3333,21.83,36,5,3.9,CL,1677862081
521,pochutla,15.7432,-96.4661,30.46,45,0,4.26,MX,1677862135
522,manama,26.2154,50.5832,22.32,58,0,2.06,BH,1677862031
523,baruun-urt,46.6806,113.2792,-3.37,48,0,2.25,MN,1677862136
524,sterling,39.0062,-77.4286,6.44,75,100,3.6,US,1677861976
525,arlit,18.7369,7.3853,33.56,7,23,4.5,NE,1677862136
526,constitucion,-35.3333,-72.4167,20.0,64,6,2.48,CL,1677862136
527,sitka,57.0531,-135.33,0.94,75,75,5.14,US,1677862137
528,rey bouba,8.6724,14.1786,38.52,15,76,1.68,CM,1677862137
529,kalmunai,7.4167,81.8167,25.28,81,72,4.32,LK,1677862137
530,mahenge,-8.6833,36.7167,19.01,88,100,0.86,TZ,1677862138
531,isangel,-19.55,169.2667,26.9,93,100,10.3,VU,1677862138
532,los llanos de aridane,28.6585,-17.9182,18.86,93,75,1.79,ES,1677862138
533,lorengau,-2.0226,147.2712,26.27,81,100,5.81,PG,1677862139
534,eenhana,-17.4667,16.3333,29.2,22,67,3.08,NA,1677862139
535,gari,59.4307,62.3497,-19.62,98,97,2.25,RU,1677862139
536,suntar,62.1444,117.6319,-0.76,95,100,3.68,RU,1677862140
537,pisco,-13.7,-76.2167,25.03,73,95,4.12,PE,1677862140
538,lagodekhi,41.8268,46.2767,5.5,94,100,1.47,GE,1677862140
539,sisimiut,66.9395,-53.6735,-9.91,88,79,4.55,GL,1677862141
540,cairns,-16.9167,145.7667,24.97,94,40,0.51,AU,1677862141
541,paita,-5.0892,-81.1144,27.48,61,29,3.3,PE,1677862141
542,katherine,-14.4667,132.2667,24.18,83,100,1.54,AU,1677862142
543,pozo colorado,-23.4923,-58.7972,33.0,48,69,3.97,PY,1677862142
544,camabatela,-8.1881,15.375,21.95,71,96,0.63,AO,1677862143
545,aklavik,68.2191,-135.0107,-40.0,67,20,0.0,CA,1677862143
546,ust-maya,60.4167,134.5333,-32.63,100,75,1.46,RU,1677862144
547,waddan,29.1614,16.139,25.55,13,28,4.12,LY,1677862144
548,namatanai,-3.6667,152.4333,25.03,91,100,4.3,PG,1677862145
549,grand gaube,-20.0064,57.6608,27.43,72,99,0.45,MU,1677862146
550,walvis bay,-22.9575,14.5053,23.53,60,0,8.23,NA,1677862147
551,kampot,10.6167,104.1833,22.03,75,99,2.06,KH,1677862147
552,bagdarin,54.4333,113.6,-9.1,92,100,1.22,RU,1677862148
553,morant bay,17.8815,-76.4093,31.51,62,12,6.73,JM,1677862148
554,oksfjord,70.2396,22.3479,0.1,84,100,5.35,NO,1677862149
555,maniitsoq,65.4167,-52.9,-0.76,82,100,6.56,GL,1677862149
556,casper,42.8666,-106.3131,-2.67,63,100,7.72,US,1677861912
557,mineiros,-17.5694,-52.5511,28.83,56,14,3.1,BR,1677861923
558,chichibu,35.9903,139.0764,3.65,75,66,1.12,JP,1677862150
559,pak chong,14.708,101.4161,23.78,38,3,2.02,TH,1677862150
560,hohhot,40.8106,111.6522,1.06,50,0,1.0,CN,1677862151
561,weligama,5.9667,80.4167,24.54,84,96,4.18,LK,1677862151
562,rawson,-43.3002,-65.1023,26.34,25,58,12.81,AR,1677862152
563,korla,41.7597,86.1469,5.16,51,2,2.12,CN,1677862152
564,pajapan,18.25,-94.7,30.03,51,23,6.62,MX,1677862153
